"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","64.4198895027624","51.9572953736655","60.7470511140236","62.8555493586169","59.7515527950312","36.3567649281936","31.2827682628452","32.5074331020812","45.5411678475446","86.8912898765937","80.4699201198202","77.297780426039","69.9155328511459","45.7388552098335","32.3240511568943","33.0457125675392","37.1820014411982","36.6811053254075","36.93491697976","44.2957879716439","47.017403243449","44.5550892666619","42.1856308493421","43.9380495281116","46.0197368421053","43.448595654478","48.0146361295568","46.9069323454773","47.1085055650574","44.0156384883303","47.443127362044","46.7423534600308","46.8546854829077","45.20404216062","47.261112303909","45.7147906534196","42.6830881241231",
"Africa Eastern and Southern","AFE","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","28.1501998454231","29.1987753796725","26.6774103566901","25.6923223324102","26.2386997185879","24.8458284006454","26.8067860432167","25.0516153483076","32.0891693439614","27.8017199045196","27.5160539038474","29.7733382077342","28.173937385343","31.6426246330687","31.6042320286867","30.790845256903","30.4134362821104","29.7333917708733","33.0534644298649","36.3759737945361","34.5720573027855","37.1724815516875","34.5182338758995","34.0759875018078","38.6467810374381","37.4329138792909","32.5925050710672","34.3593994112249","36.1548773824621","35.0554757292472","39.7746910886867","44.1050361338332","46.2670510807498","45.2960297125862","48.778044727602","47.7987330918209","47.4354846832054","48.2819787544865","44.6888451947343","45.2022915180981","42.5270898717281","41.1691797379926","38.3355161455078","43.6961943060344","41.8167117883715","39.1087510570482",
"Afghanistan","AFG","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","34.9930843706777","17.5938803894298","16.3703249540159","10.3988603988604","9.8273572377158","6.98267074413863","9.60415314730694","6.12244897959184","13.4996801023672","8.83333333333333","10.9284332688588","","","","","","","","","","","","","","","","","","","24.6131449409248","28.2462621642865","21.4738012876866","24.5326965636478","29.5147855547543","19.5550846845568","24.480701675051","13.177997594308","10.9855953667733","9.26027933204912","13.5105997661582","12.0688453489793","12.1766633350475","","",
"Africa Western and Central","AFW","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","43.8780994355263","37.4156422561644","46.3452326938521","44.2095214919168","38.8408664165548","41.6278495852384","44.2810682353169","47.3689848834843","45.5051548356064","43.2048730206437","43.8042172506819","39.5746589866864","38.7568382383581","40.3355046774199","34.4933922585873","38.5567803736181","49.3126680718384","45.6956796076952","47.5132161672155","50.9023761599667","45.2728591368966","43.9611961372953","49.5663182679511","50.9260776554019","50.9767580969221","53.3134808350916","42.9995406027943","","42.9278881869588","46.2159926493441","40.5801833155317","32.3093348379965","39.7565967827416","35.297193796151","37.3289772582255","34.1799179713274","37.3804951291666","40.6431870494634","38.0986992179466","38.7072032823083","43.0132996621098","46.5018470068483","48.7914646628013","49.4415036387868","42.3393475917652","",
"Angola","AGO","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","50.4524180967239","51.4684838160136","53.3427895981087","64.8985890652557","60.4306382978723","68.7186963979417","64.4290141917242","63.5500117020224","65.5658492861259","72.0224582506878","79.3567319879107","82.1402308431925","79.3987149864513","82.5685531918123","77.5380025900345","81.0803602188578","84.309562182182","81.2132061914574","71.7701436962032","76.0606945276413","77.707337025252","70.7790847178138","74.0162992544081","72.8528638824847","73.5928594450696","76.9433844561182","81.8152135590966","77.8819177576468","74.5800864859563","75.4242915272779","72.3656604104067","65.6042693292308","64.8334241373523","53.8924502841559","49.964906021409","43.5797908850304","46.2582402150242","47.2867081345289",
"Albania","ALB","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","51.4285714285714","54.639175257732","51.131221719457","51.5837104072398","60.2094240837696","69.2737430167598","62.9441624365482","70.5","61.4503816793893","63.4408602150538","70.7903780068729","83.2335329341317","51.8518518518518","61.5194564546016","56.7547169811321","43.3865814696486","34.5300950369588","29.3479440164913","17.6866537717602","18.5775597792765","6.77847658979734","8.17383472190948","7.89210619948832","16.2957640300355","16.8400662810732","23.2975589738735","19.2285372034977","16.6241513840114","13.3266983868614","9.52205020714247","11.7827669951324","8.66070588534803","8.39399210649679","12.6451814667864","10.6645132359783","11.1246516025807","13.3588513234331","15.4371443953276","13.7323113951407","13.3353941272756","24.7632322691338","19.6883468167125","10.4113381565579",
"Andorra","AND","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9496374446077","57.7770212344893","51.1174792645864","",
"Arab World","ARB","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6823598978244","33.9102578163306","34.5827797356789","37.2209716175336","35.5646313143913","34.352490485032","36.1607103770523","37.4034421586722","","","","",
"United Arab Emirates","ARE","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Communications, computer, etc. (% of service imports, BoP)","BM.GSR.CMCP.ZS","","","","","","","","","","","","","","","","","38.1401617250674","32.9886246122027","29.0155440414508","22.8500355366027","19.1393875395987","23.296447291788","35.7284440039643","44.0647482014388","34.5128877238969","37.037037037037","34.68","28.1371784879189","29.7927461139896","33.046902971715","32.4358974358974","22.9847766408785","20.109689213894","17.126235633543","18.3803470484012","18.6092825136914","18.8611842512449","18.5986892396551","18.8700734637736","19.5591009220443","21.1630334911905","23.6960679570402","30.4042663421133","29.7668644493776","31.0014218722649","30.4078091048421","34.3944589835366","33.6466405394895","34.6798361990786","38.9563564596224","36.9828595541647","37.995188944558","37.4849414784261","39.0279108122936","39.2966323703185","35.7330526448386","31.9733822945135","31.7075949921335","32.4823315992536","37.24186026129","54.1884687632645","56.775951744789","39.7792859179771",
