"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bulgaria","BGR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9860817.7","11473845.8966672","23347047.843671","24433653.2516767","30520223.5453771","80611097.1732956","69439205.4960638","77561078.1707785","95185418.7623821","117239687.563586","114240000","140180000","184750000","197870000","229820000","185840000","183510000","178800000","208970000","258550000","264050000","307810000","266370000",
"Bahrain","BHR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","1000000","2400000","2500000","2900000","3100000","7300000","3400000","3500000","3700000","5700000","3900000","3900000","3700000","2600000","3200000","3700000","3200000","1200000","5100000","4600000","6400000","9600000","9100000","12200000","14200000","13200000","13656000","14600000","18500000","16087000","17670000","19680000","17890000","17480000","10570000","15272000","16753000","19200000","19514760.92","17658586.93","22875962.77","14190513.671","10285993.17","10261087.08","6359970.74","7457374.49","",
"Bosnia and Herzegovina","BIH","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8258726.11963854","9601090.11433874","10797196.7351314","5967649.54209525","5468247.41102707","4604166.89359272","9082194.35673651","7514459.63789364","6923384.87043434","9975386.65527583","7831871.70104501","8759802.10725274","8376030.03716454","13967684.7865264","13746877.3510513","15978640.2720929","15733082.0196116",
"Belarus","BLR","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800000","1100000","800000","2700000","3800000","3200000","5500000","9100000","19500000","50500000","52500000","75200000","76000000","102700000","89200000","106800000","145100000","237300000","132700000","125700000","157100000","178700000","187200000","202400000","248656400","",
"Belize","BLZ","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","100000","200000","1250000","250000","200000","200000","250000","400000","300000","100000","58500","109000","400000","500000","100000","2483130.5","2920196.015","2192434.96000001","343911.662321733","229944.964261927","421590.460010285","390409.276562521","381894.164628997","863405.542064542","743250.807164869","1100349.46427134","1382149.28301152","1976691.48052993","2271626.48515551","2338069.77068586","4847919.58081479","4139216.68422352","2625094.43201328","3585358.78353965","7886378.99729147","7438447.6329301","5598606.07956927","9260152.8476557","12679939.6501443",
"Bermuda","BMU","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4690000","4600186.29372087","6328373.96789077","9317683.23401921","8796579.65059918","9900275.14276331","10277577.505415","10932020.4824316","11763872.7304878","8594322.14684","8461475.48032981","8090866.7","6990153.589355","4366599.8","3219425.59155","3034281.43680785","",
"Bolivia","BOL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","1400000","1900000","2400000","1800000","2000000","3000000","3000000","3000000","3000000","2500000","2100000","3800000","3600000","3200000","3200000","3700000","3700000","3900000","4100000","4400000","4000000","5200000","5200000","4800000","5000000","5280000","5740000","7990000","9681000","11200000","14421000","16187000","17805000","18650000","19805000","20800500","42441212.0697189","50427298.1952335","68285439.4142988","83568649.6993847","99382292.8753314","93745643.0782737","81071369.8867118","76817706.7083166","37680170.5562172","28856775.0709294","25194145.0399611",
"Brazil","BRA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","223000000","263000000","170000000","211000000","36000000","38000000","29000000","31000000","26000000","17000000","30000000","34000000","41000000","48000000","70000000","54000000","53000000","55000000","121000000","239000000","529000000","797000000","949591000","1478574000","1282515000","1414582000","1244319000","1228789000","1227928000","905010000","1404494000","1663677000","2259433000","2697171000","2512044100","3346848904.31","3865929486.76","4377895661.91","4761555280.06","6147326281.71","5517267028.88","5315108647.86","5402128503.78","5124101633.46","5246219107.55","4062060898.29","5222174070.59","7163171035.21",
"Barbados","BRB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","584444.737167434","742991.142546604","614000","907500","2096500","2572000","2050000","2200000","2150000","4700000","6400000","5400000","7700000","15450000","5500000","6550000","4000000","2700000","7250000","10150000","12950000","14650000","17800000","20650000","22200000","22600000","23700000","24300000","24600000","24950000","25014134.7321039","19056795.1191483","34399126.815","25952719.085","31817107.51","36771831.54","19151125.025","12675726.997","9472731.572","12725656.342","13883612.02636","17259500.78","13411945.39","14559781.96","","","","","",
