Country Name,Country Code,Year,ATM Usage,GDP,High Tech Export ($M),High Tech Import,Internet Subscription Per 100,Internet Usage Per 100,IP Income($M),Labour Force (M),Med_High Tech Manufacturing,Mobile Sub Per 100,Personal Remittance ($M),Poverty Count,Stock Traded $B,Tech Cooperation Grant($M),Unemployment Rate,Med High Tech Export
Slovak Republic,SVK,2012,52.58,1.15,6432.73,39.93,19.33,76.71,168.36,2.68,47.82,112.67,1753.89,0.4,0.45,0.0,13.62,66.48
South Africa,ZAF,2012,57.27,1.04,2860.65,31.69,2.08,41.0,1941.1,21.06,24.43,128.69,1158.42,3.5,49.29,198.71,21.42,44.68
Spain,ESP,2012,147.23,-3.02,13768.26,19.34,24.65,69.81,2746.13,23.56,35.95,108.36,1714.25,0.9,76.15,0.0,21.39,53.91
Thailand,THA,2012,87.31,6.55,37172.47,38.77,6.53,26.46,3080.54,40.87,40.71,122.93,5255.62,0.1,58.05,118.42,0.66,59.63
Tunisia,TUN,2012,21.12,2.89,854.25,24.24,4.72,41.44,15.16,3.97,26.15,114.94,2004.5,0.15,2.18,102.53,18.33,45.28
Turkiye,TUR,2012,60.25,3.25,2327.2,23.21,10.45,45.13,816.0,26.96,29.89,89.91,1883.0,0.1,43.05,151.07,8.8,40.3
Ukraine,UKR,2012,84.3,0.4,2647.71,28.17,8.04,35.27,744.0,22.04,32.92,130.86,7822.0,0.1,0.7,196.36,7.85,44.86
United Kingdom,GBR,2012,123.42,0.75,73147.76,43.53,33.99,87.48,10850.11,32.48,43.47,122.76,5099.0,0.2,113.82,0.0,8.04,63.04
United States,USA,2012,15.81,1.53,169065.94,39.35,29.22,74.7,31115.0,157.44,46.05,96.27,6104.0,1.0,263.12,0.0,8.95,62.53
West Bank and Gaza,PSE,2012,16.72,3.51,1.13,26.09,4.39,43.4,0.29,0.93,5.52,73.9,1141.71,0.06,2.7,180.21,17.6,7.97
Zambia,ZMB,2012,7.03,4.1,54.71,30.82,0.1,4.1,0.55,4.53,14.77,71.38,46.28,11.81,0.09,85.52,10.58,18.63
Argentina,ARG,2013,34.53,1.27,1791.01,36.98,14.75,59.9,2079.14,18.84,26.42,158.92,577.53,0.6,0.27,56.8,7.22,49.68
Australia,AUS,2013,164.7,0.83,5341.24,27.79,25.88,83.45,4110.57,12.01,27.81,107.91,2405.32,0.16,58.55,0.0,5.22,17.13
Austria,AUT,2013,115.63,-0.56,20792.97,35.4,26.33,80.62,1864.97,4.38,44.98,156.52,3028.19,0.3,5.77,0.0,4.87,62.05
Bangladesh,BGD,2013,4.04,4.68,68.65,14.01,0.99,6.63,10.47,58.66,9.47,75.67,14119.63,2.88,1.08,200.31,4.1,1.8
Belgium,BEL,2013,94.23,-0.01,23017.33,43.47,34.48,82.17,2895.14,4.91,50.04,110.92,11171.45,0.1,20.34,0.0,7.54,50.39
Brazil,BRA,2013,115.36,2.11,9066.23,49.44,10.59,51.04,3865.93,97.19,36.39,134.39,2784.07,3.7,33.73,241.83,7.25,36.61
Canada,CAN,2013,203.39,1.25,32177.51,37.32,34.49,85.8,10411.41,19.32,36.36,80.88,1254.6,0.5,73.73,0.0,7.29,56.63
Chile,CHL,2013,67.54,2.32,696.15,27.3,13.11,58.0,773.56,8.21,15.96,135.13,72.03,0.5,17.4,64.95,6.64,11.92
China,CHN,2013,37.59,7.05,655897.28,30.05,13.73,45.8,14706.11,778.94,41.45,89.32,17065.62,2.9,58.92,678.71,4.58,58.32
Colombia,COL,2013,36.05,4.1,773.38,35.44,9.81,51.7,753.79,23.53,20.76,108.77,4018.67,6.1,8.69,127.19,9.74,38.0
Costa Rica,CRI,2013,53.7,1.32,3074.12,26.02,10.12,45.96,214.78,2.32,22.17,148.43,562.34,1.6,0.07,31.37,9.11,62.47
Cote d'Ivoire,CIV,2013,1.96,8.5,165.47,26.81,0.25,6.6,18.45,7.99,14.99,86.3,367.09,4.07,0.48,39.23,7.22,51.63
Croatia,HRV,2013,112.87,-0.12,999.79,49.43,22.16,66.75,262.29,1.87,25.98,109.57,2084.7,0.7,0.95,7.68,15.93,44.27
Cyprus,CYP,2013,63.89,-6.37,56.34,20.28,26.71,65.45,39.13,0.61,18.89,128.16,601.12,0.1,1.18,0.0,11.8,53.06
Egypt, Arab Rep.,2013,9.22,-0.06,78.78,30.5,2.51,26.4,226.0,29.06,20.53,106.09,14324.3,0.9,6.74,183.12,11.85,30.56
France,FRA,2013,109.37,0.06,118708.42,50.11,39.38,81.92,10545.78,30.29,46.58,99.98,22666.37,0.1,40.04,0.0,9.4,65.25
Germany,DEU,2013,118.65,0.16,209260.62,39.26,35.07,84.17,7405.17,41.85,59.29,122.47,14637.03,0.02,35.44,0.0,5.38,72.54
Ghana,GHA,2013,5.36,4.71,62.18,39.18,0.25,15.0,4.08,11.51,10.84,101.82,2155.5,4.63,0.12,156.17,3.22,33.27
Greece,GRC,2013,73.01,-1.81,950.03,23.43,26.69,59.87,556.62,4.93,22.18,114.7,680.98,1.0,6.23,0.0,24.44,21.68
Hungary,HUN,2013,56.48,2.08,17133.94,60.71,26.25,72.64,2034.87,4.36,56.52,117.14,3147.78,0.2,8.51,0.0,11.0,73.52
India,IND,2013,10.95,5.01,17938.42,47.43,1.16,12.3,2819.29,476.03,37.61,68.65,68820.52,8.53,34.88,356.15,8.1,28.7
Indonesia,IDN,2013,35.73,4.28,6492.91,36.44,1.28,14.94,1787.97,122.34,35.82,123.67,7212.2,11.2,10.02,684.04,4.47,30.29
Ireland,IRL,2013,84.59,0.59,25028.66,77.81,25.92,78.25,40850.36,2.23,55.93,106.36,695.0,0.7,4.15,0.0,15.45,52.15
Israel,ISR,2013,122.8,2.49,11743.77,46.46,25.92,70.25,1068.3,3.62,40.52,122.95,684.9,0.5,19.37,0.0,6.86,54.76
Italy,ITA,2013,99.33,-2.97,31874.95,43.78,23.23,58.46,6609.33,25.13,42.22,160.6,9166.14,1.4,37.5,0.0,10.65,53.65
Japan,JPN,2013,127.91,2.15,111060.3,48.78,28.92,88.22,19172.72,65.52,55.34,115.83,2539.58,0.7,53.35,0.0,4.36,78.09
Kazakhstan,KAZ,2013,68.57,4.49,3111.0,67.12,11.29,63.3,94.62,8.86,16.48,175.06,282.98,0.04,0.54,43.53,5.29,33.13
Kenya,KEN,2013,9.39,1.33,78.07,36.49,0.17,13.0,15.09,18.51,12.47,71.06,1211.02,2.67,1.79,229.59,2.84,21.62
Korea, Rep.,2013,281.23,1.87,130654.61,48.58,36.77,84.07,9182.9,25.87,59.38,108.04,6602.2,0.2,154.35,0.0,2.99,70.63
Luxembourg,LUX,2013,100.71,0.81,743.24,27.03,32.5,93.78,246.61,0.26,23.95,145.17,1717.9,0.1,0.19,0.0,5.14,39.29
Malaysia,MYS,2013,56.97,3.04,67074.15,35.0,9.75,57.06,1634.19,13.65,42.11,142.71,1293.81,0.01,39.33,46.08,3.1,58.35
Malta,MLT,2013,60.21,4.0,1016.4,56.39,32.69,68.91,597.23,0.19,5.7,127.23,200.11,0.15,0.47,0.0,6.2,40.16
Mauritius,MUS,2013,44.33,3.11,6.4,44.41,12.58,40.12,15.2,0.58,4.64,118.82,0.86,0.05,2.54,21.51,7.47,3.52
Mexico,MEX,2013,48.76,0.03,58517.56,29.94,10.87,43.46,3399.95,50.31,39.5,91.01,23208.65,1.9,9.96,119.74,4.89,78.33
Montenegro,MNE,2013,69.6,3.45,6.91,54.53,15.1,60.31,2.82,0.25,15.88,156.78,507.5,3.0,1.06,12.72,19.81,22.0
Morocco,MAR,2013,22.9,3.11,414.85,44.4,2.5,56.0,41.35,11.55,7.04,125.83,6507.91,1.4,3.27,279.14,8.99,44.5
Namibia,NAM,2013,49.61,3.84,72.29,67.7,1.62,13.9,8.45,0.79,7.29,123.74,80.11,1.42,0.46,49.66,16.77,25.75
Netherlands,NLD,2013,54.56,-0.42,80845.64,64.56,40.27,93.96,36661.87,9.01,45.8,115.41,1640.15,0.1,49.76,0.0,5.82,50.26
Nigeria,NGA,2013,11.49,3.83,91.78,31.53,0.01,19.1,213.2,54.75,33.44,72.83,20542.88,11.99,0.88,315.28,3.75,19.39
Norway,NOR,2013,52.73,-0.2,5372.31,41.41,37.61,95.05,778.78,2.67,35.22,112.03,766.53,0.1,23.33,0.0,3.12,46.69
Pakistan,PAK,2013,5.29,2.8,354.22,31.48,0.79,9.0,127.0,63.27,22.77,62.21,14007.0,7.4,5.34,228.39,1.86,10.4
Panama,PAN,2013,50.7,5.04,2030.97,11.78,8.04,44.03,68.7,1.69,6.24,162.36,410.9,2.2,1.77,19.61,3.72,15.0
Peru,PER,2013,39.09,4.83,203.76,29.62,5.37,39.2,215.8,16.52,13.67,99.18,2787.95,5.4,2.74,170.13,3.24,6.15
Philippines,PHL,2013,18.85,4.96,12557.11,17.49,2.58,32.7,441.51,40.08,41.16,103.13,24609.68,1.85,13.62,264.71,3.5,68.91
Poland,POL,2013,56.24,0.92,13659.5,47.08,18.21,62.85,2407.0,18.27,35.21,147.57,7041.0,0.4,12.16,0.0,10.09,55.18
Portugal,PRT,2013,184.92,-0.38,2135.76,38.85,24.5,62.1,600.61,5.39,24.51,114.59,461.19,0.9,12.23,0.0,15.53,37.85
Romania,ROU,2013,65.03,0.64,3679.01,54.85,18.89,49.76,482.42,9.22,37.7,114.17,733.22,6.6,1.12,0.0,6.79,55.77
Russian Federation,RUS,2013,142.14,1.54,9200.86,43.86,16.45,67.97,5830.32,75.91,24.63,151.26,5787.73,0.01,15.41,0.0,5.44,22.84
Serbia,SRB,2013,46.5,3.39,438.2,41.82,16.42,53.45,183.3,3.11,24.88,128.67,3546.46,5.8,0.56,105.6,24.0,48.59
Slovak Republic,SVK,2013,54.7,0.52,8085.52,36.17,20.48,77.88,176.54,2.71,49.43,114.66,1927.19,0.3,0.08,0.0,13.96,67.68
South Africa,ZAF,2013,57.09,1.1,2613.57,31.67,3.0,46.5,2118.15,21.29,24.43,142.68,1084.53,3.5,52.22,201.05,21.79,43.62
Spain,ESP,2013,136.14,-1.08,14479.33,19.34,26.29,71.64,2746.13,23.57,37.39,107.63,2093.91,1.1,65.25,0.0,24.79,55.21
Thailand,THA,2013,94.79,2.07,37049.82,35.53,7.46,28.94,3121.26,41.2,40.71,134.88,5656.79,0.1,60.08,131.83,0.58,59.83
Tunisia,TUN,2013,22.26,1.29,801.03,24.86,4.6,43.8,12.08,4.08,25.92,112.5,2265.71,0.15,2.64,164.69,17.63,46.82
Turkiye,TUR,2013,66.11,6.65,3782.39,22.56,11.61,46.25,680.0,27.57,29.93,90.97,1881.0,0.3,40.76,160.17,8.15,40.92
Ukraine,UKR,2013,92.8,0.27,2234.79,29.22,8.86,40.95,746.0,21.94,39.39,138.44,8449.0,0.03,0.34,198.26,7.53,42.32
United Kingdom,GBR,2013,125.92,1.14,74696.89,43.68,35.83,89.84,12192.69,32.78,44.74,122.35,4944.72,0.2,91.28,0.0,7.88,64.38
United States,USA,2013,15.81,1.14,169222.38,39.46,30.07,71.4,32912.0,158.45,45.78,97.28,6303.0,1.0,199.02,0.0,8.07,61.74
West Bank and Gaza,PSE,2013,18.61,2.21,0.38,37.32,4.92,46.6,0.58,0.97,1.6,73.62,1737.05,0.06,1.99,153.81,19.2,7.72
Zambia,ZMB,2013,8.38,1.68,40.34,31.22,0.09,4.8,3.73,4.69,9.92,68.24,72.86,11.81,0.07,76.06,7.85,23.2
Argentina,ARG,2014,43.34,-3.58,1510.0,38.0,15.22,64.7,2216.99,18.96,25.48,142.99,535.0,0.6,0.41,53.14,7.1,49.13
Australia,AUS,2014,161.17,1.06,5455.32,28.01,27.85,84.0,4165.82,12.18,27.26,106.78,2442.45,0.5,49.98,0.0,5.66,17.82
Austria,AUT,2014,117.27,-0.12,21648.21,36.34,27.6,81.0,1955.21,4.42,45.4,151.56,3261.51,0.2,6.17,0.0,5.34,61.94
Bangladesh,BGD,2014,4.96,4.75,31.74,11.27,1.98,11.9,10.82,59.78,9.47,81.34,13866.95,2.88,0.82,202.64,4.43,1.8
Belgium,BEL,2014,93.95,1.13,26766.12,45.04,35.89,85.0,2822.61,4.96,49.16,113.94,11695.09,0.1,22.1,0.0,8.43,50.94
Brazil,BRA,2014,118.44,-0.35,8794.61,48.13,11.78,54.55,4377.9,98.53,34.15,137.98,2717.68,3.3,29.91,235.93,7.07,36.68
Bulgaria,BGR,2014,93.74,1.54,1154.68,39.31,20.09,55.49,184.75,3.36,28.09,128.69,1666.96,1.7,1.58,0.0,12.94,39.03
Canada,CAN,2014,221.01,1.84,28785.44,37.27,35.5,87.12,10901.91,19.52,37.04,81.31,1336.54,0.2,71.68,0.0,7.07,56.63
Chile,CHL,2014,63.87,0.77,731.38,27.64,14.08,61.11,1072.98,8.32,17.1,133.89,71.11,0.25,14.87,58.86,6.2,12.23
China,CHN,2014,46.65,6.75,653847.62,29.99,14.47,47.9,17748.98,779.04,41.45,92.85,17790.11,2.1,80.41,557.75,4.6,57.34
Colombia,COL,2014,39.52,3.51,762.81,34.8,10.77,52.57,947.98,23.81,20.72,118.54,4449.83,5.4,5.34,121.31,9.05,39.97
Costa Rica,CRI,2014,71.38,2.41,2418.53,25.84,10.66,53.0,310.56,2.34,19.92,144.92,596.4,1.5,0.13,28.93,8.22,61.03
Cote d'Ivoire,CIV,2014,1.96,6.87,241.14,26.93,0.55,10.0,17.2,8.15,14.99,96.13,384.78,4.07,0.86,58.79,4.25,31.81
Croatia,HRV,2014,113.9,-0.02,915.59,47.55,22.98,68.57,307.36,1.84,26.87,104.14,2768.84,1.0,0.93,7.68,17.25,41.83
Cyprus,CYP,2014,52.9,-0.69,68.44,25.41,28.76,69.33,127.25,0.62,19.9,131.15,431.0,0.1,0.17,0.0,15.87,52.73
Egypt, Arab Rep.,2014,10.32,-0.15,72.68,29.96,2.87,29.4,231.6,29.54,17.79,106.78,19236.4,0.62,6.12,193.93,12.6,31.61
France,FRA,2014,108.95,0.48,120586.81,48.43,40.84,83.75,8754.18,30.43,47.04,102.89,24412.28,0.06,39.32,0.0,9.92,65.21
Germany,DEU,2014,118.41,1.78,215614.58,40.26,36.13,86.19,6396.89,42.21,60.59,121.59,16395.72,0.02,35.15,0.0,5.23,72.81
Ghana,GHA,2014,7.94,0.41,96.02,33.57,0.25,19.0,4.08,11.74,10.84,107.68,1863.99,4.63,0.31,163.74,2.17,19.16
Greece,GRC,2014,62.2,1.15,1337.15,22.56,29.05,63.21,370.77,4.87,20.73,111.8,804.71,1.5,10.05,0.0,27.47,23.6
Hungary,HUN,2014,57.12,4.51,15681.72,61.35,26.15,75.65,1701.01,4.39,58.5,118.83,4159.62,0.7,7.98,0.0,10.18,74.62
India,IND,2014,12.82,6.09,18326.34,43.04,1.2,13.5,3990.06,476.57,38.67,72.21,69970.36,8.53,30.75,369.98,8.04,30.21
Indonesia,IDN,2014,42.02,3.8,6585.89,35.48,1.33,17.14,1800.09,122.96,34.89,127.07,7614.42,9.3,10.83,515.73,4.34,29.94
Ireland,IRL,2014,84.67,7.86,25855.88,79.35,27.23,83.49,38193.32,2.25,55.21,106.28,722.43,0.4,6.25,0.0,13.73,52.46
Israel,ISR,2014,123.05,1.94,12408.26,46.68,27.1,75.02,1111.7,3.69,42.12,120.81,764.8,0.5,18.67,0.0,6.21,54.06
Italy,ITA,2014,92.45,-0.92,32860.99,43.62,23.84,55.64,5586.0,25.29,41.93,149.06,9436.14,1.2,35.95,0.0,12.15,54.21
Japan,JPN,2014,128.32,0.43,107367.02,50.57,29.64,89.11,19897.56,65.77,56.21,123.83,2363.85,0.06,116.71,0.0,4.04,78.48
Kazakhstan,KAZ,2014,70.55,2.68,3394.07,61.36,12.21,66.0,152.39,8.91,16.59,162.55,341.41,0.04,0.3,52.46,5.2,36.52
Kenya,KEN,2014,9.49,2.64,62.28,31.2,0.22,16.5,31.78,19.11,13.37,73.38,1304.28,2.67,2.93,213.31,2.83,21.62
Korea, Rep.,2014,288.45,2.7,143473.57,46.46,37.4,84.77,7415.0,26.27,60.06,109.15,6589.1,0.1,123.95,0.0,2.81,72.37
Luxembourg,LUX,2014,97.89,0.23,679.5,28.67,33.59,94.67,870.09,0.27,22.46,144.3,1921.58,0.1,0.18,0.0,5.85,40.17
Malaysia,MYS,2014,57.28,4.37,70927.14,35.79,10.0,63.67,1543.3,14.3,41.63,146.79,1423.37,0.01,43.98,32.64,3.16,59.45
Malta,MLT,2014,58.7,5.51,856.96,53.5,33.95,73.17,446.18,0.2,17.57,122.35,245.88,0.15,0.64,0.0,6.11,38.74
Mauritius,MUS,2014,44.88,3.64,0.36,46.83,14.09,44.8,15.52,0.59,4.97,127.85,0.55,0.05,2.61,19.59,7.32,4.02
Mexico,MEX,2014,48.71,1.58,61491.33,30.17,10.97,44.39,3647.71,51.14,40.39,88.37,23188.81,3.7,12.84,119.4,4.91,79.92
Montenegro,MNE,2014,71.56,1.68,11.12,50.47,16.37,61.0,3.08,0.25,16.06,159.75,545.31,1.6,0.35,13.44,19.59,22.07
Morocco,MAR,2014,24.26,17.47,414.85,42.4,2.91,56.8,56.84,11.71,7.87,129.02,6881.7,0.13,2.8,260.83,9.23,48.94
Namibia,NAM,2014,53.61,4.27,114.01,65.52,1.84,14.84,6.26,0.86,7.35,119.08,64.1,1.42,0.28,43.27,19.03,34.19
Netherlands,NLD,2014,52.99,1.06,84386.29,65.85,40.41,91.67,36136.89,9.05,46.79,115.38,1618.63,0.1,54.33,0.0,7.24,52.73
Nigeria,NGA,2014,13.31,3.55,140.22,36.14,0.01,21.0,250.8,53.71,33.44,77.47,20797.07,11.99,1.2,358.38,3.7,18.99
Norway,NOR,2014,50.5,0.9,5698.24,39.89,38.48,96.3,587.76,2.7,31.8,111.68,791.46,0.1,18.35,0.0,3.42,48.62
Pakistan,PAK,2014,6.29,3.21,264.49,33.01,0.96,10.0,161.0,64.8,22.77,65.19,14629.0,3.31,0.24,261.71,2.95,10.25
Panama,PAN,2014,55.95,3.25,0.23,18.16,7.97,44.92,96.9,1.74,8.03,177.59,461.4,2.9,0.42,16.37,3.7,4.7
Peru,PER,2014,41.96,1.32,206.1,30.58,5.82,40.2,363.76,16.62,14.57,105.03,2707.25,4.8,1.58,140.13,3.57,6.81
Philippines,PHL,2014,21.93,4.64,12557.11,18.51,2.86,34.7,471.31,40.79,43.03,109.87,26716.84,1.85,15.71,201.43,3.5,70.43
Poland,POL,2014,58.3,3.91,16755.6,49.05,18.75,66.6,2332.0,18.29,33.94,147.49,7457.0,0.4,14.08,0.0,10.33,55.38
Portugal,PRT,2014,180.42,1.34,2314.84,37.25,27.46,64.59,505.19,5.29,24.62,114.29,446.47,0.5,17.21,0.0,16.19,38.51
Romania,ROU,2014,63.9,4.51,4471.14,50.97,20.09,54.08,452.53,9.18,36.96,114.62,4805.77,7.0,0.78,0.0,7.1,55.82
Russian Federation,RUS,2014,156.61,-1.05,10399.91,43.18,17.25,70.52,7629.28,75.61,25.57,152.79,6750.81,0.01,10.27,0.0,5.46,21.68
Serbia,SRB,2014,44.72,-1.13,449.01,41.48,16.74,62.08,174.97,3.16,25.92,131.35,4024.79,6.9,0.33,91.87,22.15,47.09
Slovak Republic,SVK,2014,56.21,2.6,8401.14,34.49,21.98,79.98,180.98,2.72,47.48,117.69,2071.69,0.7,0.05,0.0,14.22,69.2
South Africa,ZAF,2014,58.04,-0.17,2806.86,31.41,3.12,49.0,2017.33,21.68,24.43,144.86,970.66,20.5,57.93,193.07,22.04,46.09
Spain,ESP,2014,130.73,1.7,14664.46,19.34,27.99,76.19,2746.13,23.33,38.68,109.34,3035.76,0.8,67.5,0.0,26.09,54.72
Thailand,THA,2014,102.35,0.43,38435.81,36.43,7.78,34.89,3609.71,40.09,41.36,138.79,6584.86,0.1,83.25,97.51,0.25,60.87
Tunisia,TUN,2014,23.14,1.93,871.47,21.29,4.97,46.16,12.8,4.08,25.86,124.98,2290.51,0.15,0.95,167.67,15.93,49.09
Turkiye,TUR,2014,74.9,2.88,4292.92,23.52,11.35,51.04,741.0,28.74,29.24,92.03,1901.0,0.2,39.07,153.44,8.73,41.61
Ukraine,UKR,2014,104.06,-4.88,1989.93,31.08,9.31,46.24,727.0,21.83,29.58,144.28,9667.0,0.03,0.17,177.74,7.17,39.66
United Kingdom,GBR,2014,128.51,2.44,76014.22,43.09,36.64,91.61,10576.68,33.06,44.56,121.13,4804.5,0.2,60.12,0.0,7.52,67.62
United States,USA,2014,15.81,1.54,175881.16,41.02,30.37,73.0,35061.0,158.81,47.04,100.17,6613.0,1.2,197.39,0.0,7.37,62.36
West Bank and Gaza,PSE,2014,20.21,-2.47,1.1,18.58,5.31,53.67,0.82,1.0,3.09,72.2,1489.34,0.06,1.78,149.4,19.89,5.68
Zambia,ZMB,2014,9.36,1.35,21.09,19.91,0.13,6.5,3.77,4.86,9.67,64.27,53.98,11.81,0.02,81.59,8.01,24.99
Argentina,ARG,2015,45.67,1.63,1475.18,37.48,15.85,68.04,2329.27,19.05,25.29,142.96,505.35,0.64,0.67,52.32,7.27,46.13
Australia,AUS,2015,165.23,0.69,5089.63,29.19,28.66,84.56,3913.99,12.32,26.12,108.19,2329.66,0.16,47.93,0.0,6.08,21.76
Austria,AUT,2015,186.37,-0.11,18084.51,38.78,28.41,83.94,1754.33,4.44,45.12,155.87,3239.9,0.7,6.49,0.0,5.62,62.38
Bangladesh,BGD,2015,5.77,5.29,93.61,12.84,3.1,12.9,20.49,60.9,9.47,83.24,14987.53,2.88,9.14,214.08,4.39,1.87
Belgium,BEL,2015,90.93,1.45,22551.6,47.69,36.64,85.05,3348.51,4.98,48.98,113.56,12161.0,0.1,20.03,0.0,8.52,52.7
Brazil,BRA,2015,117.93,-4.36,9433.01,50.69,12.42,58.33,4761.56,99.63,35.46,125.65,2647.91,3.9,26.23,237.62,6.76,40.55
Bulgaria,BGR,2015,90.48,4.09,1185.64,40.57,22.09,56.66,197.87,3.36,28.17,125.79,1684.74,3.4,0.43,0.0,11.42,42.2
Canada,CAN,2015,221.85,-0.09,28241.57,38.09,36.7,90.0,11801.33,19.59,38.44,83.3,1351.3,0.2,74.42,0.0,6.91,59.13
Chile,CHL,2015,56.63,1.11,579.47,31.87,15.22,76.63,1418.82,8.47,14.06,129.86,60.61,0.4,10.46,56.42,6.65,11.71
China,CHN,2015,54.75,6.42,652212.46,25.22,19.88,50.3,21033.08,780.06,41.45,92.7,29910.5,1.2,114.16,552.47,4.63,58.72
Colombia,COL,2015,40.97,1.99,823.79,34.54,11.73,55.9,1282.43,24.25,22.54,121.66,4165.73,4.9,4.52,137.01,8.57,45.98
Costa Rica,CRI,2015,78.8,2.57,869.82,27.04,11.41,59.76,374.4,2.4,16.59,153.94,593.93,1.6,0.23,29.21,8.5,50.64
Cote d'Ivoire,CIV,2015,7.43,4.46,187.85,21.09,0.46,16.7,3.89,8.36,14.99,107.67,387.21,33.4,0.82,66.71,3.48,48.66
Croatia,HRV,2015,116.77,3.37,915.71,46.34,23.18,69.85,281.19,1.9,27.56,103.78,2774.82,0.6,0.83,7.68,17.29,45.31
Cyprus,CYP,2015,53.35,4.01,55.56,30.3,30.72,71.72,39.13,0.63,21.51,130.98,323.09,0.04,0.24,0.0,16.09,43.99
Egypt, Arab Rep.,2015,10.94,0.53,168.39,27.58,3.21,33.89,344.7,30.18,13.85,99.71,17833.1,0.62,4.42,164.6,13.15,34.36
France,FRA,2015,108.22,0.75,109607.53,51.79,42.1,78.01,11054.53,30.41,47.98,104.5,25358.37,0.1,40.92,0.0,10.29,66.43
Germany,DEU,2015,123.51,0.62,199429.95,41.8,37.41,87.59,8696.43,42.46,60.7,117.41,17048.57,0.02,32.63,0.0,4.98,74.05
Ghana,GHA,2015,7.98,-0.27,89.34,40.15,0.25,23.0,4.08,11.98,10.84,121.26,2007.83,4.63,0.14,155.69,4.5,29.49
Greece,GRC,2015,59.46,0.46,1328.84,21.35,31.82,66.83,322.27,4.81,18.85,116.29,734.93,1.4,14.04,0.0,26.49,27.58
Hungary,HUN,2015,57.83,3.95,14668.17,62.1,27.62,72.83,1966.06,4.51,59.45,100.57,4202.89,0.6,5.04,0.0,7.73,76.6
India,IND,2015,17.73,6.72,14583.51,50.09,1.28,14.9,3903.91,476.78,42.86,75.67,70388.64,18.7,37.34,403.62,7.98,33.89
Indonesia,IDN,2015,49.21,3.72,5889.54,38.46,1.54,22.06,1736.37,124.48,35.34,130.82,8551.16,8.3,10.18,495.81,4.05,28.63
Ireland,IRL,2015,98.75,23.2,30615.41,77.25,28.07,83.49,42172.56,2.26,54.35,105.06,725.77,0.4,6.39,0.0,11.86,55.85
Israel,ISR,2015,123.07,0.48,13753.94,50.98,27.14,77.35,998.0,3.8,39.23,132.0,859.0,0.5,15.05,0.0,5.89,57.25
Italy,ITA,2015,92.45,0.88,30088.41,43.14,24.74,58.14,5387.5,25.69,42.09,145.59,10099.26,1.9,95.08,0.0,12.68,55.0
Japan,JPN,2015,127.52,1.67,98249.84,49.18,30.55,91.06,17831.14,65.97,56.77,126.18,3733.91,0.06,98.93,0.0,3.59,79.85
Kazakhstan,KAZ,2015,72.0,-0.27,2855.23,54.91,12.9,70.83,147.89,8.97,14.18,147.51,401.38,0.04,0.39,40.3,5.06,41.49
Kenya,KEN,2015,9.64,2.68,81.21,28.96,0.29,16.59,77.53,19.72,14.88,80.5,1440.85,29.4,1.48,230.29,2.8,20.85
Korea, Rep.,2015,288.59,2.56,149049.32,48.08,37.97,87.56,8616.6,26.63,59.78,113.32,6475.4,0.2,97.01,0.0,2.75,72.42
Luxembourg,LUX,2015,105.23,-0.12,702.2,32.26,34.3,96.38,1352.51,0.28,23.67,141.69,1888.09,0.3,0.16,0.0,5.85,43.48
Malaysia,MYS,2015,56.07,3.53,64451.56,37.23,9.86,71.06,1395.33,14.68,43.1,141.96,1579.52,0.01,42.2,39.63,2.88,61.76
Malta,MLT,2015,55.31,7.02,634.07,55.35,35.75,75.96,510.75,0.21,37.99,114.8,252.78,0.1,0.53,0.0,5.73,41.42
Mauritius,MUS,2015,45.04,3.55,1.29,52.61,15.27,50.14,13.49,0.6,4.99,136.28,327.04,0.05,3.54,20.06,7.47,4.01
Mexico,MEX,2015,50.45,2.09,60215.24,31.7,12.28,57.43,3801.44,51.65,39.69,89.63,24802.08,1.9,9.73,126.92,4.81,80.9
Montenegro,MNE,2015,70.95,3.33,11.85,52.49,17.73,68.12,4.46,0.27,14.86,158.98,543.35,1.3,0.35,11.64,18.05,23.58
Morocco,MAR,2015,25.28,3.02,564.39,39.75,3.31,57.08,73.9,11.83,30.4,124.28,7788.7,0.13,2.55,277.76,9.7,51.48
Namibia,NAM,2015,56.7,2.45,6.26,59.55,3.08,25.69,6.94,0.87,7.35,111.7,80.72,15.6,0.56,38.38,18.52,7.19
Netherlands,NLD,2015,53.65,1.51,69698.58,65.65,41.25,91.72,37444.37,9.03,47.28,122.11,1482.64,0.1,53.37,0.0,7.42,55.41
Nigeria,NGA,2015,16.19,0.08,495.1,28.84,0.01,24.5,258.58,55.76,33.44,81.97,20999.08,32.3,0.89,376.59,3.94,50.66
Norway,NOR,2015,48.32,0.85,5035.41,40.35,39.51,96.81,668.15,2.72,32.26,110.11,759.95,0.2,20.4,0.0,3.48,53.33
Pakistan,PAK,2015,7.27,3.38,266.54,39.71,0.85,11.0,126.0,65.27,22.77,59.68,17244.0,5.1,0.22,240.31,1.83,9.39
Peru,PER,2015,56.73,2.05,219.75,34.24,6.51,40.85,394.28,16.68,14.68,111.47,2636.54,4.7,1.61,150.89,3.21,7.16
Philippines,PHL,2015,23.18,4.59,12557.11,20.81,2.81,36.9,529.35,42.18,41.68,114.37,28690.8,6.5,14.19,223.18,3.6,75.87
